1 x || xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
0 x || 0000000000000000000000000000000000000000000000000000000000000000
0 x || 0000000000101110011111100110000000111000001001000100010000101100
0 x || 0000000011011100111111001100000001110000010010001000100001011000
0 x || 0000000010111000111110000000000011100000100100000001000010110000
0 x || 0000000001110011011100110000000001000000101000111010000111100010
0 x || 0000001001100111011001100000001100000011110001001100000011000110
0 x || 0000010011001110110011000000011000000101000010010000000100001110
0 x || 0000100000011110000110000000111000001001000100010000000000011110
0 x || 0001000000111111001100000001110000010010001000100000000100111110
0 x || 0010000001111110011000000011100000100100010001000000000001111110
0 x || 0100000001111100110000000111000001001000100010001000001001111110
0 1 || 0000000011111000000000001110000010010000000100001000011001111110
0 1 || 0000001101110011000000000100000010100011101000010000111101111110
0 1 || 0010001100100011010000000100000010100011000100000000000100110001
0 1 || 0000001101100011011000001110000001100000000000110011000000000000
0 0 || 0000001101100011000100001001000010100000010100000000000000000000
0 0 || 0000001100100011010100000111000010110000011000000000000000000000
0 0 || 0110000001100000001110000010010001000100000000000100011101111001
0 0 || 1100000011000000011100000100100010001000100000101000111101110010
0 0 || 0000000000000000111000001001000000010000100001100001110011100100
0 0 || 0000000000000000010000001010001110100001000011111011100101001000
0 0 || 0000000000000011000000111100010011000000100111010111000000010011
0 0 || 0000000000000110000001010000100100000001101110010110000100100110
0 0 || 0000000000001110000010010001000100000000011100001100000011001100
0 0 || 0000000000011100000100100010001000000001011000101000001100011000
0 0 || 0000000000111000001001000100010000000000010001110000010100110000
0 0 || 0000000001110000010010001000100010000010100011111000101001100000
0 0 || 0000000011100000100100000001000010000110000111000001011011000000
0 0 || 0000000001000000101000111010000100001111101110011010110100000011
0 0 || 0000000000000011110001001100000010011101011100000101100000000101
0 0 || 0000000010000101000010010000000110111001011000011011000100001010
0 0 || 0000000000001001000100010000000001110000110000000110000000010110
0 0 || 0000000000010010001000100000000101100010100000110100000000101100
0 0 || 0000000000100100010001000000000001000111000001010000001001011000
0 0 || 0000000001001000100010001000001010001111100010100000010010110000
0 0 || 0000000010010000000100001000011000011100000101100000100011100000
0 0 || 0000000010100011101000010000111110111001101011011001001101000000
0 0 || 0000001111000100110000001001110101110000010110000010010100000010
0 0 || 0000010100001001000000011011100101100001101100010100101000000100
0 0 || 0000100100010001000000000111000011000000011000000001010000001010
0 0 || 0001001000100010000000010110001010000011010000000010101100010100
0 0 || 0010010001000100000000000100011100000101000000100101010000101010
0 0 || 0100100010001000100000101000111110001010000001001010100001010100
0 0 || 1001000000010000100001100001110000010110000010001101000000101000
0 0 || 1010000010100001000011111011100110101101100100110010001101010000
0 0 || 1100001111000000100111010111000001011000001001010100010100100000
0 0 || 0000010100000001101110010110000110110001010010101000101001000000
0 0 || 0000101100000000011100001100000001100000000101000001011000000000
0 0 || 0001011000000001011000101000001101000000001010110010110000000000
0 0 || 0010110010000000010001110000010100000010010101000101101000000000
0 0 || 0101100010000010100011111000101000000100101010001011010000000000
0 0 || 1011000010000110000111000001011000001000110100001110100000000000
0 0 || 1110001000001111101110011010110110010011001000110101000000000000
0 0 || 1100011010011101011100000101100000100101010001010010000000000000
